Ensembl.gene.ID	Ensembl.transcript.ID	RefSeq.mRNA.ID	Gene.name	UCSC.ID
ENSG00000132563	ENST00000378339	NM_001271803	REEP2	uc003lda.5
ENSG00000132563	ENST00000254901	NM_016606	REEP2	uc003lcz.5
ENSG00000120733	ENST00000314358	NM_016604	KDM3B	uc003lcy.1
ENSG00000120709	ENST00000239906	NM_001350194	FAM53C	uc003lcw.4
ENSG00000120709	ENST00000239906	NM_016605	FAM53C	uc003lcw.4
ENSG00000120709	ENST00000434981	NM_001135647	FAM53C	uc003lcv.4
ENSG00000158402	ENST00000348983	NM_022809	CDC25C	uc003lcq.2
ENSG00000158402	ENST00000323760	NM_001790	CDC25C	uc003lcp.3
ENSG00000158402	ENST00000323760	NM_001287582	CDC25C	uc003lcp.3
ENSG00000146013	ENST00000274721	NM_001496	GFRA3	uc003lcn.4
ENSG00000094880	ENST00000394886	NM_004661	CDC23	uc003lcl.3
ENSG00000112984	ENST00000394894	NM_005733	KIF20A	uc003lcj.4
ENSG00000112983	ENST00000411594	NM_001164326	BRD8	uc003lci.4
ENSG00000112983	ENST00000230901	NM_006696	BRD8	uc003lcg.4
ENSG00000112983	ENST00000254900	NM_139199	BRD8	uc003lcf.2
ENSG00000112981	ENST00000265191	NM_003551	NME5	uc003lce.4
ENSG00000061492	ENST00000398754	NM_058244	WNT8A	uc003lcd.1
ENSG00000031003	ENST00000425075	NM_001101801	FAM13B	uc003lcb.3
ENSG00000031003	ENST00000420893	NM_001101800	FAM13B	uc003lca.3
ENSG00000031003	ENST00000033079	NM_016603	FAM13B	uc003lbz.3
ENSG00000078795	ENST00000508883	NM_001300921	PKD2L2	uc003lby.4
ENSG00000078795	ENST00000508638	NM_001258449	PKD2L2	uc003lbx.5
ENSG00000078795	ENST00000290431	NM_014386	PKD2L2	uc003lbw.2
ENSG00000120729	ENST00000239926	NM_006790	MYOT	uc003lbv.4
ENSG00000177733	ENST00000314940	NM_006805	HNRNPA0	uc003lbt.4
ENSG00000146021	ENST00000506491	NM_001257195	KLHL3	uc003lbr.6
ENSG00000152377	ENST00000394945	NM_004598	SPOCK1	uc003lbp.4
ENSG00000069018	ENST00000513104	NM_020389	TRPC7	uc003lbn.3
ENSG00000120708	ENST00000442011	NM_000358	TGFBI	uc003lbf.5
ENSG00000145826	ENST00000274507	NM_002302	LECT2	uc003lbe.1
ENSG00000145839	ENST00000274520	NM_000590	IL9	uc003lbb.1
ENSG00000145832	ENST00000412661	NM_145282	SLC25A48	uc003lba.4
ENSG00000145824	ENST00000337225	NM_004887	CXCL14	uc003lay.4
ENSG00000181965	ENST00000314744	NM_006161	NEUROG1	uc003lax.3
ENSG00000255833	ENST00000537858	NM_001099221	TIFAB	uc003law.5
ENSG00000251380	ENST00000503143	NM_130848	DCANP1	uc003lav.3
ENSG00000113648	ENST00000304332	NM_001040158	H2AFY	uc003lat.2
